N,L,R,D,cfmindex_time,2fmindex_time,cfmindex_acc,2fmindex_acc
1000000,64,3,0,4100,2571,100.0,99.99
1000000,64,3,1,8312,18296,99.19,99.16
1000000,64,3,2,44181,237530,99.97,98.94
1000000,64,5,0,4986,3604,100.0,100.0
1000000,64,5,1,12030,28875,99.71,99.16
1000000,64,5,2,72056,395157,99.97,99.93
1000000,128,1,0,3140,2044,99.98,99.98
1000000,128,1,1,3828,4275,93.54,0.0
1000000,128,1,2,9835,40886,94.26,0.0
1000000,128,3,0,3951,2940,99.99,99.99
1000000,128,3,1,6063,9637,99.5,0.0
1000000,128,3,2,24054,120003,99.28,96.23
1000000,128,5,0,4787,3797,100.0,100.0
1000000,128,5,1,8296,15308,99.52,93.76
1000000,128,5,2,38240,198541,99.61,96.23
